"The Alchemist", Paulo Coelho, 9.50, 9780062315007, CCB, 1988
"Lord of the Flies", William Golding, 8.99, 9780571191475, HCB, 1954
"Frankenstein", Mary Shelley, 6.99, 9780486282114, MTV, 1818
"The Hunger Games", Suzanne Collins, 10.25, 9780439023481, MRB, 2008
"Jane Eyre", Charlotte Bronte, 7.75, 9780141441146, NEB, 1847
"Crime and Punishment", Fyodor Dostoevsky, 11.49, 9780140449136, OTR, 1866
"Wuthering Heights", Emily Bronte, 9.95, 9780141439556, SSM, 1847
"The Picture of Dorian Gray", Oscar Wilde, 8.80, 9780141442464, TPA, 1890
"Dracula", Bram Stoker, 7.85, 9780141439846, CCB, 1897
"Moby-Dick", Herman Melville, 14.25, 9780142437247, HCB, 1851
"The Odyssey", Homer, 12.35, 9780140268867, MTV, 1998
"The Road", Cormac McCarthy, 11.70, 9780307387899, MRB, 2006
"The Metamorphosis", Franz Kafka, 6.65, 9780553213690, NEB, 1915
"The Kite Runner", Khaled Hosseini, 11.00, 9781594631931, OTR, 2003
